Recycle_Schedule,Residual Day,Primary Address Identifier,Secondary Address Identifier,Street,Locality
8,FRIDAY,GABLE END 21,,SOUTH WEALD ROAD,BRENTWOOD
8,FRIDAY,22,,SOUTH WEALD ROAD,BRENTWOOD
8,FRIDAY,23,,SOUTH WEALD ROAD,BRENTWOOD
3,WEDNESDAY,2,,BRIARWOOD,KELVEDON HATCH
8,FRIDAY,24,,SOUTH WEALD ROAD,BRENTWOOD
8,FRIDAY,26,,SOUTH WEALD ROAD,BRENTWOOD
8,FRIDAY,27,,SOUTH WEALD ROAD,BRENTWOOD
8,FRIDAY,29,,SOUTH WEALD ROAD,BRENTWOOD
8,FRIDAY,1A,,SOUTHALL WAY,BRENTWOOD
8,FRIDAY,1B,,SOUTHALL WAY,BRENTWOOD
8,FRIDAY,1,,SOUTHALL WAY,BRENTWOOD
8,FRIDAY,2,,SOUTHALL WAY,BRENTWOOD
8,FRIDAY,3,,SOUTHALL WAY,BRENTWOOD
8,FRIDAY,4,,SOUTHALL WAY,BRENTWOOD
3,WEDNESDAY,3,,BRIARWOOD,KELVEDON HATCH
8,FRIDAY,5,,SOUTHALL WAY,BRENTWOOD
8,FRIDAY,6,,SOUTHALL WAY,BRENTWOOD
8,FRIDAY,7,,SOUTHALL WAY,BRENTWOOD
8,FRIDAY,8,,SOUTHALL WAY,BRENTWOOD
8,FRIDAY,9,,SOUTHALL WAY,BRENTWOOD
8,FRIDAY,10,,SOUTHALL WAY,BRENTWOOD
8,FRIDAY,11,,SOUTHALL WAY,BRENTWOOD
8,FRIDAY,12,,SOUTHALL WAY,BRENTWOOD
8,FRIDAY,13,,SOUTHALL WAY,BRENTWOOD
8,FRIDAY,14,,SOUTHALL WAY,BRENTWOOD
3,WEDNESDAY,4,,BRIARWOOD,KELVEDON HATCH
8,FRIDAY,15,,SOUTHALL WAY,BRENTWOOD
11,WEDNESDAY,1,,SPALT CLOSE,HUTTON
11,WEDNESDAY,2,,SPALT CLOSE,HUTTON
11,WEDNESDAY,3,,SPALT CLOSE,HUTTON
11,WEDNESDAY,4,,SPALT CLOSE,HUTTON
11,WEDNESDAY,5,,SPALT CLOSE,HUTTON
11,WEDNESDAY,6,,SPALT CLOSE,HUTTON
11,WEDNESDAY,7,,SPALT CLOSE,HUTTON
11,WEDNESDAY,8,,SPALT CLOSE,HUTTON
11,WEDNESDAY,9,,SPALT CLOSE,HUTTON
3,WEDNESDAY,5,,BRIARWOOD,KELVEDON HATCH
11,WEDNESDAY,10,,SPALT CLOSE,HUTTON
11,WEDNESDAY,11,,SPALT CLOSE,HUTTON
11,WEDNESDAY,12,,SPALT CLOSE,HUTTON
11,WEDNESDAY,14,,SPALT CLOSE,HUTTON
11,WEDNESDAY,15,,SPALT CLOSE,HUTTON
11,WEDNESDAY,16,,SPALT CLOSE,HUTTON
11,WEDNESDAY,17,,SPALT CLOSE,HUTTON
11,WEDNESDAY,18,,SPALT CLOSE,HUTTON
11,WEDNESDAY,19,,SPALT CLOSE,HUTTON
11,WEDNESDAY,20,,SPALT CLOSE,HUTTON
3,WEDNESDAY,6,,BRIARWOOD,KELVEDON HATCH
11,WEDNESDAY,21,,SPALT CLOSE,HUTTON
11,WEDNESDAY,22,,SPALT CLOSE,HUTTON
11,WEDNESDAY,23,,SPALT CLOSE,HUTTON
11,WEDNESDAY,24,,SPALT CLOSE,HUTTON
11,WEDNESDAY,25,,SPALT CLOSE,HUTTON
11,WEDNESDAY,26,,SPALT CLOSE,HUTTON
11,WEDNESDAY,27,,SPALT CLOSE,HUTTON
11,WEDNESDAY,28,,SPALT CLOSE,HUTTON
11,WEDNESDAY,29,,SPALT CLOSE,HUTTON
11,WEDNESDAY,30,,SPALT CLOSE,HUTTON
3,WEDNESDAY,7,,BRIARWOOD,KELVEDON HATCH
11,WEDNESDAY,31,,SPALT CLOSE,HUTTON
11,WEDNESDAY,32,,SPALT CLOSE,HUTTON
11,WEDNESDAY,33,,SPALT CLOSE,HUTTON
11,WEDNESDAY,34,,SPALT CLOSE,HUTTON
11,WEDNESDAY,35,,SPALT CLOSE,HUTTON
11,WEDNESDAY,36,,SPALT CLOSE,HUTTON
11,WEDNESDAY,37,,SPALT CLOSE,HUTTON
11,WEDNESDAY,38,,SPALT CLOSE,HUTTON
11,WEDNESDAY,39,,SPALT CLOSE,HUTTON
11,WEDNESDAY,41,,SPALT CLOSE,HUTTON
3,WEDNESDAY,8,,BRIARWOOD,KELVEDON HATCH
11,WEDNESDAY,43,,SPALT CLOSE,HUTTON
11,WEDNESDAY,45,,SPALT CLOSE,HUTTON
11,WEDNESDAY,47,,SPALT CLOSE,HUTTON
11,WEDNESDAY,49,,SPALT CLOSE,HUTTON
11,WEDNESDAY,51,,SPALT CLOSE,HUTTON
11,WEDNESDAY,53,,SPALT CLOSE,HUTTON
11,WEDNESDAY,55,,SPALT CLOSE,HUTTON
3,WEDNESDAY,3,,SPILLBUTTERS,DODDINGHURST
3,WEDNESDAY,4,,SPILLBUTTERS,DODDINGHURST
3,WEDNESDAY,5,,SPILLBUTTERS,DODDINGHURST
3,WEDNESDAY,9,,BRIARWOOD,KELVEDON HATCH
3,WEDNESDAY,ALANVALE 6,,SPILLBUTTERS,DODDINGHURST
3,WEDNESDAY,7,,SPILLBUTTERS,DODDINGHURST
3,WEDNESDAY,9,,SPILLBUTTERS,DODDINGHURST
3,WEDNESDAY,10,,SPILLBUTTERS,DODDINGHURST
3,WEDNESDAY,11,,SPILLBUTTERS,DODDINGHURST
3,WEDNESDAY,12,,SPILLBUTTERS,DODDINGHURST
3,WEDNESDAY,13,,SPILLBUTTERS,DODDINGHURST
3,WEDNESDAY,14,,SPILLBUTTERS,DODDINGHURST
11,WEDNESDAY,20,,ALBERT STREET,WARLEY
3,WEDNESDAY,10,,BRIARWOOD,KELVEDON HATCH
3,WEDNESDAY,15,,SPILLBUTTERS,DODDINGHURST
3,WEDNESDAY,16,,SPILLBUTTERS,DODDINGHURST
8,FRIDAY,8,,SPITAL LANE,BRENTWOOD
8,FRIDAY,BEARS END 10,,SPITAL LANE,BRENTWOOD
8,FRIDAY,11,,SPITAL LANE,BRENTWOOD
8,FRIDAY,12,,SPITAL LANE,BRENTWOOD
8,FRIDAY,13,,SPITAL LANE,BRENTWOOD
8,FRIDAY,14,,SPITAL LANE,BRENTWOOD
8,FRIDAY,15,,SPITAL LANE,BRENTWOOD
3,WEDNESDAY,11,,BRIARWOOD,KELVEDON HATCH
8,FRIDAY,16,,SPITAL LANE,BRENTWOOD
8,FRIDAY,17,,SPITAL LANE,BRENTWOOD
8,FRIDAY,18,,SPITAL LANE,BRENTWOOD
8,FRIDAY,19,,SPITAL LANE,BRENTWOOD
8,FRIDAY,20,,SPITAL LANE,BRENTWOOD
8,FRIDAY,21,,SPITAL LANE,BRENTWOOD
8,FRIDAY,22,,SPITAL LANE,BRENTWOOD
8,FRIDAY,23,,SPITAL LANE,BRENTWOOD
8,FRIDAY,25,,SPITAL LANE,BRENTWOOD
3,WEDNESDAY,12,,BRIARWOOD,KELVEDON HATCH
8,FRIDAY,27,,SPITAL LANE,BRENTWOOD
8,FRIDAY,29,,SPITAL LANE,BRENTWOOD
8,FRIDAY,31,,SPITAL LANE,BRENTWOOD
8,FRIDAY,33,,SPITAL LANE,BRENTWOOD
8,FRIDAY,34,,SPITAL LANE,BRENTWOOD
8,FRIDAY,35,,SPITAL LANE,BRENTWOOD
8,FRIDAY,36,,SPITAL LANE,BRENTWOOD
8,FRIDAY,37,,SPITAL LANE,BRENTWOOD
8,FRIDAY,38,,SPITAL LANE,BRENTWOOD
8,FRIDAY,39,,SPITAL LANE,BRENTWOOD
